EntityType,EntityName,PolicyName,PolicyType,Sid,Action,Resource
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:ListUsers,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:ListGroups,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:ListRoles,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:GetUserPolicy,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:ListUserPolicies,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:ListAttachedUserPolicies,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:GetGroupPolicy,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:ListGroupPolicies,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:ListAttachedGroupPolicies,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:GetRolePolicy,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:ListRolePolicies,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:ListAttachedRolePolicies,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:GetPolicy,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,iam:GetPolicyVersion,*
User,iam-auditor-user,AuditorMinimalPermissions,UserInline,,sns:Publish,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:getAccessPreview,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:getAnalyzedResource,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:getAnalyzer,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:getArchiveRule,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:getFinding,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:getGeneratedPolicy,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:listAccessPreviewFindings,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:listAccessPreviews,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:listAnalyzedResources,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:listAnalyzers,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:listArchiveRules,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:listFindings,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,access-analyzer:listPolicyGenerations,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,account:getRegionOptStatus,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,account:listRegions,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,acm-pca:describeCertificateAuthority,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,acm-pca:describeCertificateAuthorityAuditReport,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,acm-pca:getCertificate,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,acm-pca:getCertificateAuthorityCertificate,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,acm-pca:getCertificateAuthorityCsr,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,acm-pca:listCertificateAuthorities,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,acm-pca:listTags,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,acm:describeCertificate,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,acm:getAccountConfiguration,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,acm:getCertificate,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,acm:listCertificates,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,acm:listTagsForCertificate,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,airflow:getEnvironment,*
